Parcel ID,Location,Built,TotalValue,SalePrice,Beds,LotSize,LUC,NHood,SaleDate,BookPage,type,Baths,FinishedSize,description,SaleYear,Zipcode,latitude,longitude,zestimate
29-051-00-0,101 Abington Ave,1970,364500,100,4,40716,101,240,1/10/2008,176111-,Raised Ranch  ,2,1650,ONE FAM,2008,2343,42.147752,-70.990228,436212
29-005-00-0,102 Abington Ave,1956,274400,121000,3,9579,101,160,7/30/1998,12696-175,Ranch  ,1,1552,ONE FAM,1998,2343,42.149377,-70.990843,324814
29-052-00-0,105 Abington Ave,1972,422700,100,3,51592,101,240,6/17/2011,1228261-,Raised Ranch  ,1,2646,ONE FAM,2011,2343,42.147242,-70.989775,499406
29-053-00-0,108 Abington Ave,1998,389600,299900,3,42637,101,240,7/31/2001,802-049,Raised Ranch  ,2,2036,ONE FAM,2001,2343,42.148734,-70.989808,462403
29-040-00-0,109 Abington Ave,1999,368100,1,2,22203,101,240,1/30/2012,29595-395,Raised Ranch  ,2,1447,ONE FAM,2012,2343,42.147074,-70.989285,413772
22-198-00-0,11 Abington Ave,1956,282500,105000,3,12619,101,160,6/26/1991,8965-365,Ranch  ,1,1624,ONE FAM,1991,2343,42.151623,-70.997161,352479
29-041-00-0,115 Abington Ave,2001,390500,1,3,29860,101,240,11/1/2004,21722-179,Raised Ranch  ,2,1658,ONE FAM,2004,2343,42.146799,-70.989131,430243
29-039-00-0,119 Abington Ave,2010,360500,315000,3,24167,101,240,9/17/2015,33488-203,Colonial  ,1,1352,ONE FAM,2015,2343,42.146359,-70.988624,411519
16-072-01-0,122 Weymouth St,1910,326600,1032421,3,20164,101,100,7/25/2014,32421-580,Old Style  ,2,1900,ONE FAM,2014,2343,42.155904,-70.995396,395038
22-197-00-0,15 Abington Ave,1956,264400,235000,3,10681,101,160,6/27/2003,19191-461,Ranch  ,1,1168,ONE FAM,2003,2343,42.151557,-70.996916,322465
22-031-00-0,24 Abington Ave,1956,280600,269000,3,8416,101,160,1/27/2017,34878-204,Ranch  ,2,1496,ONE FAM,2017,2343,42.151903,-70.996328,302372
22-180-00-0,25 Abington Ave,1956,254100,33000,2,8416,101,160,12/19/1978,5554-736,Ranch  ,1,1150,ONE FAM,1978,2343,42.151315,-70.996209,317839
22-179-00-0,29 Abington Ave,1955,249100,1,3,8416,101,160,6/20/2016,34189-284,Ranch  ,1,1008,ONE FAM,2016,2343,42.151172,-70.995899,312372
22-060-00-0,30 Abington Ave,1956,248800,100,3,8416,101,160,2/25/2008,25530-216,Ranch  ,1,1008,ONE FAM,2008,2343,42.151701,-70.995883,311753
57-002-02-0,19 Howard Ave,2018,196200,489000,3,38416,101,100,9/17/2018,36299-560,Raised Ranch  ,3,2245,ONE FAM,2018,2343,42.121328,-71.017165,503534
22-167-00-0,35 Abington Ave,1956,262200,120000,3,8416,101,160,1/8/1993,9701-135,Ranch  ,1,1360,ONE FAM,1993,2343,42.150968,-70.995457,321494
22-166-00-0,39 Abington Ave,1956,276800,231500,3,9701,101,160,4/26/2013,31272-343,Ranch  ,1,1200,ONE FAM,2013,2343,42.150809,-70.995169,323411
22-091-00-0,40 Abington Ave,1956,248600,1,3,8416,101,160,7/31/1995,10981-202,Ranch  ,1,1008,ONE FAM,1995,2343,42.151351,-70.995136,311251
22-092-00-0,44 Abington Ave,1956,263600,229000,4,8416,101,160,6/11/2008,25832-485,Ranch  ,2,1216,ONE FAM,2008,2343,42.151207,-70.994824,336828
22-158-00-0,45 Abington Ave,1956,258000,1,3,7566,101,160,9/29/2017,35480-302,Ranch  ,1,1360,ONE FAM,2017,2343,42.150635,-70.994709,320473
22-157-00-0,49 Abington Ave,1956,254300,31900,3,9100,101,160,1/18/1977,5300-516,Ranch  ,1,1008,ONE FAM,1977,2343,42.150471,-70.994396,314734
22-114-00-0,50 Abington Ave,1956,283200,245000,3,8416,101,160,12/4/2012,30758-473,Ranch  ,1,1360,ONE FAM,2012,2343,42.151007,-70.994381,345914
26-262-00-0,8 Fagus Rd,1976,238500,367900,3,5001,101,180,8/22/2005,22804-347,Raised Ranch  ,1,1603,ONE FAM,2005,2343,42.147137,-71.018234,347728
22-152-00-0,55 Abington Ave,1956,286800,259000,3,9849,101,160,12/28/2015,33751-86,Ranch  ,1,1240,ONE FAM,2015,2343,42.150253,-70.993844,331057
22-147-00-0,64 Abington Ave,1956,259600,100,3,8499,101,160,2/2/2006,23368-204,Ranch  ,1,1360,ONE FAM,2006,2343,42.150559,-70.993378,321397
22-148-00-0,68 Abington Ave,1956,256700,165000,3,8499,101,160,9/24/2012,30474-79,Ranch  ,1,1398,ONE FAM,2012,2343,42.150431,-70.993105,321307
28-013-00-0,69 Abington Ave,1956,276900,270000,4,8499,101,160,5/9/2016,34066-27,Ranch  ,1,1392,ONE FAM,2016,2343,42.149822,-70.992835,344104
57-002-03-0,21 Howard Ave,2018,178500,305000,0,38529,101,100,10/17/2017,35524-145,Raised Ranch  ,2,1400,ONE FAM,2017,2343,42.121306,-71.017229,471833
22-149-00-0,72 Abington Ave,1956,300500,122500,4,8499,101,160,2/28/1991,8860--622,Ranch  ,2,2148,ONE FAM,1991,2343,42.15031,-70.992842,401452
39-070-00-0,498 South St,1957,215100,340000,3,7501,101,270,10/18/2018,36373-88,Contemporary  ,1,1199,ONE FAM,2018,2343,42.13971,-71.023758,349982
40-273-00-0,34 Border Rd,1951,217800,340000,5,5001,101,180,11/28/2017,35627-588,Colonial  ,2,2258,ONE FAM,2017,2343,42.138164,-71.017473,360203
29-008-00-0,77 Abington Ave,1956,280900,27000,3,8499,101,160,10/26/1972,4880--566,Ranch  ,1,1718,ONE FAM,1972,2343,42.149497,-70.992334,352448
40-228-00-0,24 Summit Rd,1958,199200,321000,3,5001,101,180,7/29/2005,22716-105,Ranch  ,1,1017,ONE FAM,2005,2343,42.138423,-71.017695,264360
29-007-00-0,81 Abington Ave,1956,391600,1,4,8499,101,160,1/10/2018,35728-567,Colonial  ,3,2602,ONE FAM,2018,2343,42.149374,-70.992067,419330
23-123-00-0,84 Abington Ave,1956,279200,100,3,8499,101,160,8/15/2016,34365-395,Ranch  ,1,1200,ONE FAM,2016,2343,42.149945,-70.99205,322032
29-048-01-0,85 Abington Ave,1984,439800,14000,5,18687,101,240,10/28/1983,588-35,Raised Ranch  ,3,3549,ONE FAM,1983,2343,42.149248,-70.99169,559958
29-048-00-0,89 Abington Ave,1969,317000,215000,2,28218,101,240,12/15/2015,192384-,Ranch  ,1,1100,ONE FAM,2015,2343,42.148787,-70.991225,344363
29-049-00-0,93 Abington Ave,1970,344400,290000,5,44501,101,240,8/28/2009,179188-,Raised Ranch  ,2,2199,ONE FAM,2009,2343,42.148438,-70.990882,424737
29-050-00-0,97 Abington Ave,1996,383700,178000,3,41182,101,240,3/26/1999,772-194,Raised Ranch  ,2,1938,ONE FAM,1999,2343,42.148088,-70.990571,443418
29-004-00-0,98 Abington Ave,1956,280700,250000,3,8499,101,160,11/10/2014,32683-597,Ranch  ,1,1200,ONE FAM,2014,2343,42.149515,-70.991122,329535
55-051-02-6,1 Abrams Way,2001,460300,143605,4,60000,101,130,10/17/2001,15636-298,Colonial  ,2,2111,ONE FAM,2001,2343,42.126161,-71.017239,536699
55-910-01-0,2 Abrams Way,2002,405100,131649,3,60000,101,130,5/18/2001,15048-442,Raised Ranch  ,2,1366,ONE FAM,2001,2343,42.125866,-71.019444,427362
